country,city,cases
Canada,Montreal,637
Canada,Montreal,622
Canada,Montreal,652
Canada,Montreal,604
Canada,Montreal,610
Canada,Montreal,614
Canada,Montreal,676
Canada,Montreal,870
Canada,Montreal,800
Canada,Montreal,747
Canada,Montreal,730
Canada,Montreal,719
Canada,Montreal,755
Canada,Montreal,759
Canada,Montreal,933
Canada,Montreal,817
Canada,Montreal,878
Canada,Montreal,827
Canada,Montreal,758
Canada,Montreal,1185
Canada,Montreal,1035
Canada,Montreal,821
Canada,Montreal,949
Canada,Montreal,818
Canada,Montreal,897
Canada,Montreal,881
Canada,Montreal,878
Canada,Montreal,934
Canada,Montreal,1152
Canada,Montreal,1019
Canada,Montreal,807
Canada,Montreal,861
Canada,Montreal,628
Canada,Montreal,786
Canada,Montreal,754
Canada,Montreal,847
Canada,Montreal,796
Canada,Montreal,786
Canada,Montreal,553
Canada,Montreal,552
Canada,Montreal,648
Canada,Montreal,657
Canada,Montreal,670
Canada,Montreal,602
Canada,Montreal,547
Canada,Montreal,473
Canada,Montreal,453
Canada,Montreal,594
Canada,Montreal,486
Canada,Montreal,567
Canada,Montreal,512
Canada,Montreal,546
Canada,Montreal,414
Canada,Montreal,428
Canada,Montreal,567
Canada,Montreal,511
Canada,Montreal,487
Canada,Montreal,590
Canada,Montreal,530
Canada,Montreal,405
Canada,Montreal,338
Canada,Montreal,422
Canada,Montreal,573
Canada,Montreal,439
Canada,Montreal,497
Canada,Montreal,356
Canada,Montreal,340
Canada,Montreal,326
Canada,Montreal,399
Canada,Montreal,349
Canada,Montreal,371
Canada,Montreal,400
Canada,Montreal,426
Canada,Montreal,362
Canada,Montreal,270
Canada,Montreal,401
Canada,Montreal,413
Canada,Montreal,382
Canada,Montreal,433
Canada,Montreal,310
Canada,Montreal,259
Canada,Montreal,228
Canada,Montreal,428
Canada,Montreal,335
Canada,Montreal,353
Canada,Montreal,324
Canada,Montreal,353
Canada,Montreal,252
Canada,Montreal,289
Canada,Montreal,332
Canada,Montreal,331
Canada,Montreal,440
Canada,Montreal,368
Canada,Montreal,272
Canada,Montreal,256
Canada,Montreal,273
Canada,Montreal,466
Canada,Montreal,395
Canada,Montreal,373
Canada,Montreal,303
Canada,Montreal,247
Canada,Montreal,225
Canada,Montreal,436
Canada,Montreal,358
Canada,Montreal,380
Canada,Montreal,315
Canada,Montreal,329
Canada,Montreal,324
Canada,Montreal,304
Canada,Montreal,345
Canada,Montreal,457
Canada,Montreal,377
Canada,Montreal,388
Canada,Montreal,377
Canada,Montreal,353
Canada,Montreal,317
Canada,Montreal,294
Canada,Montreal,379
Canada,Montreal,421
Canada,Montreal,528
Canada,Montreal,467
Canada,Montreal,380
Canada,Montreal,328
Canada,Montreal,331
Canada,Montreal,386
Canada,Montreal,366
Canada,Montreal,458
Canada,Montreal,381
Canada,Montreal,332
Canada,Montreal,233
Canada,Montreal,277
Canada,Montreal,335
Canada,Montreal,284
Canada,Montreal,328
Canada,Montreal,312
Canada,Montreal,233
Canada,Montreal,263
Canada,Montreal,247
Canada,Montreal,335
Canada,Montreal,347
Canada,Montreal,325
Canada,Montreal,331
Canada,Montreal,250
Canada,Montreal,242
Canada,Montreal,253
Canada,Montreal,240
Canada,Montreal,238
Canada,Montreal,267
Canada,Montreal,303
Canada,Montreal,198
Canada,Montreal,190
Canada,Montreal,212
Canada,Montreal,244
Canada,Montreal,266
Canada,Montreal,299
Canada,Montreal,245
Canada,Montreal,204
Canada,Montreal,187
Canada,Montreal,199
Canada,Montreal,220
Canada,Montreal,269
Canada,Montreal,202
Canada,Montreal,202
Canada,Montreal,173
Canada,Montreal,131
Canada,Montreal,146
Canada,Montreal,170
Canada,Montreal,159
Canada,Montreal,159
Canada,Montreal,124
Canada,Montreal,94
Canada,Montreal,75
Canada,Montreal,85
Canada,Montreal,122
Canada,Montreal,98
Canada,Montreal,87
Canada,Montreal,84
Canada,Montreal,67
Canada,Montreal,61
Canada,Montreal,51
Canada,Montreal,63
Canada,Montreal,47
Canada,Montreal,64
Canada,Montreal,63
Canada,Montreal,59
Canada,Montreal,43
Canada,Montreal,37
Canada,Montreal,47
Canada,Montreal,49
Canada,Montreal,62
Canada,Montreal,54
Canada,Montreal,29
Canada,Montreal,31
Canada,Montreal,31
Canada,Montreal,41
Canada,Montreal,25
Canada,Montreal,34
Canada,Montreal,29
Canada,Montreal,37
Canada,Montreal,18
Canada,Montreal,33
Canada,Montreal,42
Canada,Montreal,29
Canada,Montreal,26
Canada,Montreal,20
Canada,Montreal,20
Canada,Montreal,15
Canada,Montreal,32
Canada,Montreal,34
Canada,Montreal,35
Canada,Montreal,22
Canada,Montreal,22
Canada,Montreal,21
Canada,Montreal,26
Canada,Montreal,27
Canada,Montreal,33
Canada,Montreal,40
Canada,Montreal,33
Canada,Montreal,34
Canada,Montreal,32
Canada,Montreal,24
Canada,Montreal,39
Canada,Montreal,46
Canada,Montreal,48
Canada,Montreal,53
Canada,Montreal,48
Canada,Montreal,46
Canada,Montreal,28
Canada,Montreal,43
Canada,Montreal,44
Canada,Montreal,44
Canada,Montreal,47
Canada,Montreal,86
Canada,Montreal,51
Canada,Montreal,45
Canada,Montreal,48
Canada,Montreal,64
Canada,Montreal,88
Canada,Montreal,107
Canada,Montreal,92
Canada,Montreal,95
Canada,Montreal,66
Canada,Montreal,85
Canada,Montreal,98
Canada,Montreal,140
Canada,Montreal,143
Canada,Montreal,148
