date,city,cases,country
2020-04-14,Winnipeg,1,Canada
2020-04-15,Winnipeg,3,Canada
2020-04-16,Winnipeg,0,Canada
2020-04-17,Winnipeg,4,Canada
2020-04-18,Winnipeg,2,Canada
2020-04-19,Winnipeg,1,Canada
2020-04-20,Winnipeg,0,Canada
2020-04-21,Winnipeg,0,Canada
2020-04-22,Winnipeg,3,Canada
2020-04-23,Winnipeg,1,Canada
2020-04-24,Winnipeg,2,Canada
2020-04-25,Winnipeg,2,Canada
2020-04-26,Winnipeg,1,Canada
2020-04-27,Winnipeg,1,Canada
2020-04-28,Winnipeg,0,Canada
2020-04-29,Winnipeg,1,Canada
2020-04-30,Winnipeg,2,Canada
2020-05-01,Winnipeg,1,Canada
2020-05-02,Winnipeg,0,Canada
2020-05-03,Winnipeg,0,Canada
2020-05-04,Winnipeg,0,Canada
2020-05-05,Winnipeg,0,Canada
2020-05-06,Winnipeg,0,Canada
2020-05-07,Winnipeg,0,Canada
2020-05-08,Winnipeg,1,Canada
2020-05-09,Winnipeg,0,Canada
2020-05-10,Winnipeg,0,Canada
2020-05-11,Winnipeg,0,Canada
2020-05-12,Winnipeg,0,Canada
2020-05-13,Winnipeg,0,Canada
2020-05-14,Winnipeg,0,Canada
2020-05-15,Winnipeg,0,Canada
2020-05-16,Winnipeg,0,Canada
2020-05-17,Winnipeg,1,Canada
2020-05-18,Winnipeg,0,Canada
2020-05-19,Winnipeg,0,Canada
2020-05-20,Winnipeg,0,Canada
2020-05-21,Winnipeg,2,Canada
2020-05-22,Winnipeg,0,Canada
2020-05-23,Winnipeg,0,Canada
2020-05-24,Winnipeg,0,Canada
2020-05-25,Winnipeg,0,Canada
2020-05-26,Winnipeg,2,Canada
2020-05-27,Winnipeg,0,Canada
2020-05-28,Winnipeg,0,Canada
2020-05-29,Winnipeg,0,Canada
2020-05-30,Winnipeg,0,Canada
2020-05-31,Winnipeg,0,Canada
2020-06-01,Winnipeg,0,Canada
2020-06-02,Winnipeg,0,Canada
2020-06-03,Winnipeg,2,Canada
2020-06-04,Winnipeg,0,Canada
2020-06-05,Winnipeg,0,Canada
2020-06-06,Winnipeg,0,Canada
2020-06-07,Winnipeg,0,Canada
2020-06-08,Winnipeg,0,Canada
2020-06-09,Winnipeg,0,Canada
2020-06-10,Winnipeg,0,Canada
2020-06-11,Winnipeg,1,Canada
2020-06-12,Winnipeg,2,Canada
2020-06-13,Winnipeg,1,Canada
2020-06-14,Winnipeg,0,Canada
2020-06-15,Winnipeg,0,Canada
2020-06-16,Winnipeg,2,Canada
2020-06-17,Winnipeg,2,Canada
2020-06-18,Winnipeg,1,Canada
2020-06-19,Winnipeg,2,Canada
2020-06-20,Winnipeg,0,Canada
2020-06-21,Winnipeg,0,Canada
2020-06-22,Winnipeg,1,Canada
2020-06-23,Winnipeg,0,Canada
2020-06-24,Winnipeg,0,Canada
2020-06-25,Winnipeg,2,Canada
2020-06-26,Winnipeg,2,Canada
2020-06-27,Winnipeg,0,Canada
2020-06-28,Winnipeg,2,Canada
2020-06-29,Winnipeg,1,Canada
2020-06-30,Winnipeg,0,Canada
2020-07-01,Winnipeg,0,Canada
2020-07-02,Winnipeg,0,Canada
2020-07-03,Winnipeg,0,Canada
2020-07-04,Winnipeg,0,Canada
2020-07-05,Winnipeg,0,Canada
2020-07-06,Winnipeg,0,Canada
2020-07-07,Winnipeg,0,Canada
2020-07-08,Winnipeg,0,Canada
2020-07-09,Winnipeg,0,Canada
2020-07-10,Winnipeg,0,Canada
2020-07-11,Winnipeg,0,Canada
2020-07-12,Winnipeg,0,Canada
2020-07-13,Winnipeg,2,Canada
2020-07-14,Winnipeg,0,Canada
2020-07-15,Winnipeg,0,Canada
2020-07-16,Winnipeg,0,Canada
2020-07-17,Winnipeg,0,Canada
2020-07-18,Winnipeg,2,Canada
2020-07-19,Winnipeg,2,Canada
2020-07-20,Winnipeg,2,Canada
2020-07-21,Winnipeg,0,Canada
2020-07-22,Winnipeg,1,Canada
2020-07-23,Winnipeg,0,Canada
2020-07-24,Winnipeg,0,Canada
2020-07-25,Winnipeg,3,Canada
2020-07-26,Winnipeg,1,Canada
2020-07-27,Winnipeg,0,Canada
2020-07-28,Winnipeg,1,Canada
2020-07-29,Winnipeg,1,Canada
2020-07-30,Winnipeg,1,Canada
2020-07-31,Winnipeg,1,Canada
2020-08-01,Winnipeg,2,Canada
2020-08-02,Winnipeg,1,Canada
2020-08-03,Winnipeg,1,Canada
2020-08-04,Winnipeg,2,Canada
2020-08-05,Winnipeg,1,Canada
2020-08-06,Winnipeg,5,Canada
2020-08-07,Winnipeg,0,Canada
2020-08-08,Winnipeg,5,Canada
2020-08-09,Winnipeg,0,Canada
2020-08-10,Winnipeg,0,Canada
2020-08-11,Winnipeg,10,Canada
2020-08-12,Winnipeg,7,Canada
2020-08-13,Winnipeg,9,Canada
2020-08-14,Winnipeg,6,Canada
2020-08-15,Winnipeg,5,Canada
2020-08-16,Winnipeg,8,Canada
2020-08-17,Winnipeg,7,Canada
2020-08-18,Winnipeg,1,Canada
2020-08-19,Winnipeg,5,Canada
2020-08-20,Winnipeg,9,Canada
2020-08-21,Winnipeg,2,Canada
2020-08-22,Winnipeg,10,Canada
2020-08-23,Winnipeg,7,Canada
2020-08-24,Winnipeg,6,Canada
2020-08-25,Winnipeg,9,Canada
2020-08-26,Winnipeg,6,Canada
2020-08-27,Winnipeg,7,Canada
2020-08-28,Winnipeg,17,Canada
2020-08-29,Winnipeg,17,Canada
2020-08-30,Winnipeg,6,Canada
