city,date,cases,country
London,2020-03-01,1,Canada
London,2020-03-02,2,Canada
London,2020-03-05,1,Canada
London,2020-03-06,1,Canada
London,2020-03-08,4,Canada
London,2020-03-09,3,Canada
London,2020-03-10,4,Canada
London,2020-03-11,4,Canada
London,2020-03-12,4,Canada
London,2020-03-13,2,Canada
London,2020-03-14,3,Canada
London,2020-03-15,5,Canada
London,2020-03-16,10,Canada
London,2020-03-17,11,Canada
London,2020-03-18,8,Canada
London,2020-03-19,9,Canada
London,2020-03-20,10,Canada
London,2020-03-21,10,Canada
London,2020-03-22,13,Canada
London,2020-03-23,11,Canada
London,2020-03-24,12,Canada
London,2020-03-25,10,Canada
London,2020-03-26,8,Canada
London,2020-03-27,9,Canada
London,2020-03-28,8,Canada
London,2020-03-29,3,Canada
London,2020-03-30,9,Canada
London,2020-03-31,9,Canada
London,2020-04-01,4,Canada
London,2020-04-02,8,Canada
London,2020-04-03,9,Canada
London,2020-04-04,7,Canada
London,2020-04-05,9,Canada
London,2020-04-06,7,Canada
London,2020-04-07,12,Canada
London,2020-04-08,9,Canada
London,2020-04-09,15,Canada
London,2020-04-10,12,Canada
London,2020-04-11,7,Canada
London,2020-04-12,9,Canada
London,2020-04-13,14,Canada
London,2020-04-14,22,Canada
London,2020-04-15,9,Canada
London,2020-04-16,8,Canada
London,2020-04-17,8,Canada
London,2020-04-18,8,Canada
London,2020-04-19,10,Canada
London,2020-04-20,7,Canada
London,2020-04-21,13,Canada
London,2020-04-22,10,Canada
London,2020-04-23,4,Canada
London,2020-04-24,6,Canada
London,2020-04-25,2,Canada
London,2020-04-26,1,Canada
London,2020-04-27,7,Canada
London,2020-04-28,5,Canada
London,2020-04-29,5,Canada
London,2020-04-30,7,Canada
London,2020-05-01,3,Canada
London,2020-05-02,3,Canada
London,2020-05-03,1,Canada
London,2020-05-04,2,Canada
London,2020-05-05,3,Canada
London,2020-05-06,3,Canada
London,2020-05-07,4,Canada
London,2020-05-08,3,Canada
London,2020-05-09,3,Canada
London,2020-05-10,3,Canada
London,2020-05-11,3,Canada
London,2020-05-12,2,Canada
London,2020-05-13,3,Canada
London,2020-05-14,6,Canada
London,2020-05-15,5,Canada
London,2020-05-16,3,Canada
London,2020-05-17,4,Canada
London,2020-05-18,5,Canada
London,2020-05-19,4,Canada
London,2020-05-20,5,Canada
London,2020-05-21,6,Canada
London,2020-05-22,5,Canada
London,2020-05-23,5,Canada
London,2020-05-24,2,Canada
London,2020-05-25,9,Canada
London,2020-05-26,7,Canada
London,2020-05-28,2,Canada
London,2020-05-29,1,Canada
London,2020-05-30,4,Canada
London,2020-05-31,1,Canada
London,2020-06-01,5,Canada
London,2020-06-02,2,Canada
London,2020-06-03,6,Canada
London,2020-06-04,3,Canada
London,2020-06-05,3,Canada
London,2020-06-06,1,Canada
London,2020-06-07,2,Canada
London,2020-06-08,7,Canada
London,2020-06-09,5,Canada
London,2020-06-10,4,Canada
London,2020-06-11,2,Canada
London,2020-06-12,4,Canada
London,2020-06-13,3,Canada
London,2020-06-15,7,Canada
London,2020-06-16,3,Canada
London,2020-06-19,3,Canada
London,2020-06-20,2,Canada
London,2020-06-21,2,Canada
Ottawa,2020-02-10,1,Canada
Ottawa,2020-02-20,1,Canada
Ottawa,2020-02-22,1,Canada
Ottawa,2020-02-23,1,Canada
Ottawa,2020-02-24,1,Canada
Ottawa,2020-03-01,2,Canada
Ottawa,2020-03-02,3,Canada
Ottawa,2020-03-03,1,Canada
Ottawa,2020-03-04,1,Canada
Ottawa,2020-03-05,6,Canada
Ottawa,2020-03-06,5,Canada
Ottawa,2020-03-07,4,Canada
Ottawa,2020-03-08,9,Canada
Ottawa,2020-03-09,9,Canada
Ottawa,2020-03-10,7,Canada
Ottawa,2020-03-11,9,Canada
Ottawa,2020-03-12,14,Canada
Ottawa,2020-03-13,22,Canada
Ottawa,2020-03-14,18,Canada
Ottawa,2020-03-15,27,Canada
Ottawa,2020-03-16,14,Canada
Ottawa,2020-03-17,23,Canada
Ottawa,2020-03-18,16,Canada
Ottawa,2020-03-19,25,Canada
Ottawa,2020-03-20,22,Canada
Ottawa,2020-03-21,20,Canada
Ottawa,2020-03-22,26,Canada
Ottawa,2020-03-23,21,Canada
Ottawa,2020-03-24,18,Canada
Ottawa,2020-03-25,24,Canada
Ottawa,2020-03-26,14,Canada
Ottawa,2020-03-27,17,Canada
Ottawa,2020-03-28,25,Canada
Ottawa,2020-03-29,19,Canada
Ottawa,2020-03-30,25,Canada
Ottawa,2020-03-31,17,Canada
Ottawa,2020-04-01,27,Canada
Ottawa,2020-04-02,17,Canada
Ottawa,2020-04-03,27,Canada
Ottawa,2020-04-04,17,Canada
Ottawa,2020-04-05,27,Canada
Ottawa,2020-04-06,19,Canada
Ottawa,2020-04-07,23,Canada
Ottawa,2020-04-08,20,Canada
Ottawa,2020-04-09,36,Canada
Ottawa,2020-04-10,34,Canada
Ottawa,2020-04-11,43,Canada
Ottawa,2020-04-12,33,Canada
Ottawa,2020-04-13,24,Canada
Ottawa,2020-04-14,33,Canada
Ottawa,2020-04-15,29,Canada
Ottawa,2020-04-16,70,Canada
Ottawa,2020-04-17,32,Canada
Ottawa,2020-04-18,40,Canada
Ottawa,2020-04-19,17,Canada
Ottawa,2020-04-20,61,Canada
Ottawa,2020-04-21,36,Canada
Ottawa,2020-04-22,41,Canada
Ottawa,2020-04-23,45,Canada
Ottawa,2020-04-24,41,Canada
Ottawa,2020-04-25,101,Canada
Ottawa,2020-04-26,54,Canada
Ottawa,2020-04-27,61,Canada
Ottawa,2020-04-28,19,Canada
Ottawa,2020-04-29,25,Canada
Ottawa,2020-04-30,20,Canada
Ottawa,2020-05-01,23,Canada
Ottawa,2020-05-02,21,Canada
Ottawa,2020-05-03,19,Canada
Ottawa,2020-05-04,18,Canada
Ottawa,2020-05-05,25,Canada
Ottawa,2020-05-06,16,Canada
Ottawa,2020-05-07,23,Canada
Ottawa,2020-05-08,13,Canada
Ottawa,2020-05-09,17,Canada
Ottawa,2020-05-10,12,Canada
