date,cases,city,country
2020-08-09,6,Bern,Switzerland
2020-08-10,18,Bern,Switzerland
2020-08-11,26,Bern,Switzerland
2020-08-12,24,Bern,Switzerland
2020-08-13,14,Bern,Switzerland
2020-08-14,17,Bern,Switzerland
2020-08-15,6,Bern,Switzerland
2020-08-16,4,Bern,Switzerland
2020-08-17,14,Bern,Switzerland
2020-08-18,12,Bern,Switzerland
2020-08-19,16,Bern,Switzerland
2020-08-20,17,Bern,Switzerland
2020-08-21,17,Bern,Switzerland
2020-08-22,13,Bern,Switzerland
2020-08-23,9,Bern,Switzerland
2020-08-24,25,Bern,Switzerland
2020-08-25,18,Bern,Switzerland
2020-08-26,19,Bern,Switzerland
2020-08-27,21,Bern,Switzerland
2020-08-28,25,Bern,Switzerland
2020-08-29,7,Bern,Switzerland
2020-08-30,7,Bern,Switzerland
2020-08-31,23,Bern,Switzerland
2020-09-01,18,Bern,Switzerland
2020-09-02,29,Bern,Switzerland
2020-09-03,36,Bern,Switzerland
2020-09-04,27,Bern,Switzerland
2020-09-05,10,Bern,Switzerland
2020-09-06,11,Bern,Switzerland
2020-09-07,28,Bern,Switzerland
2020-09-08,22,Bern,Switzerland
2020-09-09,37,Bern,Switzerland
2020-09-10,28,Bern,Switzerland
2020-09-11,42,Bern,Switzerland
2020-09-12,20,Bern,Switzerland
2020-09-13,15,Bern,Switzerland
2020-09-14,60,Bern,Switzerland
2020-09-15,51,Bern,Switzerland
2020-09-16,57,Bern,Switzerland
2020-09-17,43,Bern,Switzerland
2020-09-18,58,Bern,Switzerland
2020-09-19,27,Bern,Switzerland
2020-09-20,18,Bern,Switzerland
2020-09-21,51,Bern,Switzerland
2020-09-22,35,Bern,Switzerland
2020-09-23,37,Bern,Switzerland
2020-09-24,36,Bern,Switzerland
2020-09-25,36,Bern,Switzerland
2020-09-26,25,Bern,Switzerland
2020-09-27,17,Bern,Switzerland
2020-09-28,49,Bern,Switzerland
2020-09-29,45,Bern,Switzerland
2020-09-30,59,Bern,Switzerland
2020-10-01,59,Bern,Switzerland
2020-10-02,77,Bern,Switzerland
2020-10-03,30,Bern,Switzerland
2020-10-04,27,Bern,Switzerland
2020-10-05,110,Bern,Switzerland
2020-10-06,97,Bern,Switzerland
2020-10-07,100,Bern,Switzerland
2020-10-08,125,Bern,Switzerland
2020-10-09,139,Bern,Switzerland
2020-10-10,92,Bern,Switzerland
2020-10-11,77,Bern,Switzerland
2020-10-12,276,Bern,Switzerland
2020-10-13,241,Bern,Switzerland
2020-10-14,276,Bern,Switzerland
2020-10-15,332,Bern,Switzerland
2020-10-16,301,Bern,Switzerland
2020-10-17,210,Bern,Switzerland
2020-10-18,158,Bern,Switzerland
2020-10-19,563,Bern,Switzerland
2020-10-20,564,Bern,Switzerland
2020-10-21,630,Bern,Switzerland
2020-10-22,625,Bern,Switzerland
2020-10-23,644,Bern,Switzerland
2020-10-24,408,Bern,Switzerland
2020-10-25,295,Bern,Switzerland
2020-10-26,998,Bern,Switzerland
2020-10-27,882,Bern,Switzerland
2020-10-28,815,Bern,Switzerland
2020-10-29,792,Bern,Switzerland
2020-10-30,812,Bern,Switzerland
2020-10-31,400,Bern,Switzerland
2020-11-01,299,Bern,Switzerland
2020-11-02,1011,Bern,Switzerland
2020-11-03,836,Bern,Switzerland
2020-11-04,773,Bern,Switzerland
2020-11-05,639,Bern,Switzerland
2020-11-06,622,Bern,Switzerland
2020-11-07,367,Bern,Switzerland
2020-11-08,217,Bern,Switzerland
2020-11-09,737,Bern,Switzerland
2020-11-10,611,Bern,Switzerland
2020-11-11,527,Bern,Switzerland
2020-11-12,532,Bern,Switzerland
2020-11-13,495,Bern,Switzerland
2020-11-14,321,Bern,Switzerland
2020-11-15,195,Bern,Switzerland
2020-11-16,594,Bern,Switzerland
2020-11-17,503,Bern,Switzerland
2020-11-18,445,Bern,Switzerland
2020-11-19,488,Bern,Switzerland
2020-11-20,403,Bern,Switzerland
2020-11-21,275,Bern,Switzerland
2020-11-22,197,Bern,Switzerland
2020-11-23,608,Bern,Switzerland
2020-11-24,460,Bern,Switzerland
2020-11-25,462,Bern,Switzerland
2020-11-26,434,Bern,Switzerland
2020-11-27,414,Bern,Switzerland
2020-11-28,261,Bern,Switzerland
2020-11-29,187,Bern,Switzerland
2020-11-30,523,Bern,Switzerland
2020-12-01,414,Bern,Switzerland
2020-12-02,505,Bern,Switzerland
2020-12-03,430,Bern,Switzerland
2020-12-04,527,Bern,Switzerland
2020-12-05,331,Bern,Switzerland
2020-12-06,248,Bern,Switzerland
2020-12-07,601,Bern,Switzerland
2020-12-08,604,Bern,Switzerland
2020-12-09,610,Bern,Switzerland
2020-12-10,512,Bern,Switzerland
