city,date,cases,country
Berlin,2020-07-16,16,Germany
Berlin,2020-07-17,28,Germany
Berlin,2020-07-18,21,Germany
Berlin,2020-07-19,27,Germany
Berlin,2020-07-20,48,Germany
Berlin,2020-07-21,49,Germany
Berlin,2020-07-22,49,Germany
Berlin,2020-07-23,56,Germany
Berlin,2020-07-24,52,Germany
Berlin,2020-07-25,18,Germany
Berlin,2020-07-26,19,Germany
Berlin,2020-07-27,48,Germany
Berlin,2020-07-28,55,Germany
Berlin,2020-07-29,52,Germany
Berlin,2020-07-30,44,Germany
Berlin,2020-07-31,57,Germany
Berlin,2020-08-01,47,Germany
Berlin,2020-08-02,36,Germany
Berlin,2020-08-03,58,Germany
Berlin,2020-08-04,52,Germany
Berlin,2020-08-05,54,Germany
Berlin,2020-08-06,73,Germany
Berlin,2020-08-07,87,Germany
Berlin,2020-08-08,49,Germany
Berlin,2020-08-09,38,Germany
Berlin,2020-08-10,107,Germany
Berlin,2020-08-11,85,Germany
Berlin,2020-08-12,98,Germany
Berlin,2020-08-13,73,Germany
Berlin,2020-08-14,72,Germany
Berlin,2020-08-15,65,Germany
Berlin,2020-08-16,36,Germany
Berlin,2020-08-17,80,Germany
Berlin,2020-08-18,95,Germany
Berlin,2020-08-19,59,Germany
Berlin,2020-08-20,75,Germany
Berlin,2020-08-21,63,Germany
Berlin,2020-08-22,46,Germany
Berlin,2020-08-23,33,Germany
Berlin,2020-08-24,98,Germany
Berlin,2020-08-25,85,Germany
Berlin,2020-08-26,98,Germany
Berlin,2020-08-27,83,Germany
Berlin,2020-08-28,84,Germany
Berlin,2020-08-29,44,Germany
Berlin,2020-08-30,41,Germany
Berlin,2020-08-31,103,Germany
Berlin,2020-09-01,94,Germany
Berlin,2020-09-02,116,Germany
Berlin,2020-09-03,80,Germany
Berlin,2020-09-04,100,Germany
Berlin,2020-09-05,52,Germany
Berlin,2020-09-06,45,Germany
Berlin,2020-09-07,98,Germany
Berlin,2020-09-08,87,Germany
Berlin,2020-09-09,97,Germany
Berlin,2020-09-10,146,Germany
Berlin,2020-09-11,130,Germany
Berlin,2020-09-12,73,Germany
Berlin,2020-09-13,75,Germany
Berlin,2020-09-14,166,Germany
Berlin,2020-09-15,155,Germany
Berlin,2020-09-16,182,Germany
Berlin,2020-09-17,155,Germany
Berlin,2020-09-18,164,Germany
Berlin,2020-09-19,123,Germany
Berlin,2020-09-20,127,Germany
Berlin,2020-09-21,190,Germany
Berlin,2020-09-22,179,Germany
Berlin,2020-09-23,193,Germany
Berlin,2020-09-24,190,Germany
Berlin,2020-09-25,208,Germany
Berlin,2020-09-26,119,Germany
Berlin,2020-09-27,106,Germany
Berlin,2020-09-28,283,Germany
Berlin,2020-09-29,251,Germany
Berlin,2020-09-30,264,Germany
Berlin,2020-10-01,313,Germany
Berlin,2020-10-02,358,Germany
Berlin,2020-10-03,235,Germany
Berlin,2020-10-04,277,Germany
Berlin,2020-10-05,463,Germany
Berlin,2020-10-06,421,Germany
Berlin,2020-10-07,455,Germany
Berlin,2020-10-08,451,Germany
Berlin,2020-10-09,519,Germany
Berlin,2020-10-10,388,Germany
Berlin,2020-10-11,347,Germany
Berlin,2020-10-12,617,Germany
Berlin,2020-10-13,543,Germany
Berlin,2020-10-14,568,Germany
Berlin,2020-10-15,622,Germany
Berlin,2020-10-16,646,Germany
