"date,""mcccityname1"",""cases"""
"2022-02-24,""Barnsley"",79"
"2022-02-23,""Barnsley"",96"
"2022-02-22,""Barnsley"",100"
"2022-02-21,""Barnsley"",91"
"2022-02-20,""Barnsley"",80"
"2022-02-19,""Barnsley"",105"
"2022-02-18,""Barnsley"",131"
"2022-02-17,""Barnsley"",94"
"2022-02-16,""Barnsley"",147"
"2022-02-15,""Barnsley"",119"
"2022-02-14,""Barnsley"",91"
"2022-02-13,""Barnsley"",76"
"2022-02-12,""Barnsley"",107"
"2022-02-11,""Barnsley"",145"
"2022-02-10,""Barnsley"",147"
"2022-02-09,""Barnsley"",175"
"2022-02-08,""Barnsley"",152"
"2022-02-07,""Barnsley"",120"
"2022-02-06,""Barnsley"",134"
"2022-02-05,""Barnsley"",172"
"2022-02-04,""Barnsley"",216"
"2022-02-03,""Barnsley"",200"
"2022-02-02,""Barnsley"",240"
"2022-02-01,""Barnsley"",287"
"2022-01-31,""Barnsley"",4689"
"2022-01-30,""Barnsley"",192"
"2022-01-29,""Barnsley"",238"
"2022-01-28,""Barnsley"",296"
"2022-01-27,""Barnsley"",263"
"2022-01-26,""Barnsley"",357"
"2022-01-25,""Barnsley"",283"
"2022-01-24,""Barnsley"",276"
"2022-01-23,""Barnsley"",268"
"2022-01-22,""Barnsley"",299"
"2022-01-21,""Barnsley"",357"
"2022-01-20,""Barnsley"",399"
"2022-01-19,""Barnsley"",379"
"2022-01-18,""Barnsley"",459"
"2022-01-17,""Barnsley"",323"
"2022-01-16,""Barnsley"",366"
"2022-01-15,""Barnsley"",413"
"2022-01-14,""Barnsley"",527"
"2022-01-13,""Barnsley"",494"
"2022-01-12,""Barnsley"",693"
"2022-01-11,""Barnsley"",838"
"2022-01-10,""Barnsley"",1054"
"2022-01-09,""Barnsley"",533"
"2022-01-08,""Barnsley"",649"
"2022-01-07,""Barnsley"",1051"
"2022-01-06,""Barnsley"",937"
"2022-01-05,""Barnsley"",990"
"2022-01-04,""Barnsley"",920"
"2022-01-03,""Barnsley"",703"
"2022-01-02,""Barnsley"",711"
"2022-01-01,""Barnsley"",756"
"2021-12-31,""Barnsley"",1092"
"2021-12-30,""Barnsley"",764"
"2021-12-29,""Barnsley"",721"
"2021-12-28,""Barnsley"",431"
"2021-12-27,""Barnsley"",504"
"2021-12-26,""Barnsley"",305"
"2021-12-25,""Barnsley"",519"
"2021-12-24,""Barnsley"",329"
"2021-12-23,""Barnsley"",245"
"2021-12-22,""Barnsley"",198"
"2021-12-21,""Barnsley"",173"
"2021-12-20,""Barnsley"",190"
"2021-12-19,""Barnsley"",105"
"2021-12-18,""Barnsley"",129"
"2021-12-17,""Barnsley"",150"
"2021-12-16,""Barnsley"",170"
"2021-12-15,""Barnsley"",140"
"2021-12-14,""Barnsley"",125"
"2021-12-13,""Barnsley"",100"
"2021-12-12,""Barnsley"",103"
"2021-12-11,""Barnsley"",130"
"2021-12-10,""Barnsley"",134"
"2021-12-09,""Barnsley"",137"
"2021-12-08,""Barnsley"",149"
"2021-12-07,""Barnsley"",117"
"2021-12-06,""Barnsley"",210"
"2021-12-05,""Barnsley"",179"
"2021-12-04,""Barnsley"",73"
"2021-12-03,""Barnsley"",107"
"2021-12-02,""Barnsley"",181"
"2021-12-01,""Barnsley"",137"
"2021-11-30,""Barnsley"",102"
"2021-11-29,""Barnsley"",106"
"2021-11-28,""Barnsley"",133"
"2021-11-27,""Barnsley"",137"
"2021-11-26,""Barnsley"",172"
"2021-11-25,""Barnsley"",138"
"2021-11-24,""Barnsley"",117"
"2021-11-23,""Barnsley"",120"
"2021-11-22,""Barnsley"",135"
"2021-11-21,""Barnsley"",116"
"2021-11-20,""Barnsley"",152"
"2021-11-19,""Barnsley"",141"
"2021-11-18,""Barnsley"",187"
"2021-11-17,""Barnsley"",149"
"2021-11-16,""Barnsley"",184"
"2021-11-15,""Barnsley"",144"
"2021-11-14,""Barnsley"",125"
"2021-11-13,""Barnsley"",161"
"2021-11-12,""Barnsley"",131"
"2021-11-11,""Barnsley"",190"
"2021-11-10,""Barnsley"",153"
"2021-11-09,""Barnsley"",111"
"2021-11-08,""Barnsley"",145"
"2021-11-07,""Barnsley"",119"
"2021-11-06,""Barnsley"",152"
"2021-11-05,""Barnsley"",155"
"2021-11-04,""Barnsley"",205"
"2021-11-03,""Barnsley"",201"
"2021-11-02,""Barnsley"",171"
"2021-11-01,""Barnsley"",164"
"2021-10-31,""Barnsley"",178"
"2021-10-30,""Barnsley"",162"
"2021-10-29,""Barnsley"",178"
"2021-10-28,""Barnsley"",188"
"2021-10-27,""Barnsley"",178"
"2021-10-26,""Barnsley"",182"
"2021-10-25,""Barnsley"",137"
"2021-10-24,""Barnsley"",137"
"2021-10-23,""Barnsley"",197"
"2021-10-22,""Barnsley"",225"
"2021-10-21,""Barnsley"",192"
"2021-10-20,""Barnsley"",251"
"2021-10-19,""Barnsley"",201"
"2021-10-18,""Barnsley"",209"
"2021-10-17,""Barnsley"",179"
"2021-10-16,""Barnsley"",225"
"2021-10-15,""Barnsley"",206"
"2021-10-14,""Barnsley"",248"
"2021-10-13,""Barnsley"",292"
"2021-10-12,""Barnsley"",228"
"2021-10-11,""Barnsley"",183"
"2021-10-10,""Barnsley"",200"
"2021-10-09,""Barnsley"",205"
"2021-10-08,""Barnsley"",233"
"2021-10-07,""Barnsley"",223"
"2021-10-06,""Barnsley"",289"
"2021-10-05,""Barnsley"",155"
"2021-10-04,""Barnsley"",187"
"2021-10-03,""Barnsley"",168"
"2021-10-02,""Barnsley"",132"
"2021-10-01,""Barnsley"",205"
"2021-09-30,""Barnsley"",207"
"2021-09-29,""Barnsley"",239"
"2021-09-28,""Barnsley"",238"
"2021-09-27,""Barnsley"",239"
"2021-09-26,""Barnsley"",213"
"2021-09-25,""Barnsley"",230"
"2021-09-24,""Barnsley"",258"
"2021-09-23,""Barnsley"",241"
"2021-09-22,""Barnsley"",243"
"2021-09-21,""Barnsley"",214"
"2021-09-20,""Barnsley"",209"
"2021-09-19,""Barnsley"",181"
"2021-09-18,""Barnsley"",195"
"2021-09-17,""Barnsley"",159"
"2021-09-16,""Barnsley"",186"
"2021-09-15,""Barnsley"",169"
"2021-09-14,""Barnsley"",143"
"2021-09-13,""Barnsley"",135"
"2021-09-12,""Barnsley"",149"
"2021-09-11,""Barnsley"",162"
"2021-09-10,""Barnsley"",158"
"2021-09-09,""Barnsley"",152"
"2021-09-08,""Barnsley"",193"
"2021-09-07,""Barnsley"",149"
"2021-09-06,""Barnsley"",151"
"2021-09-05,""Barnsley"",117"
"2021-09-04,""Barnsley"",176"
"2021-09-03,""Barnsley"",171"
"2021-09-02,""Barnsley"",191"
"2021-09-01,""Barnsley"",147"
"2021-08-31,""Barnsley"",119"
