"date,""mcccityname1"",""cases"""
"2020-03-24,""Natal"",0"
"2020-03-24,""Porto Alegre"",6"
"2020-03-24,""Recife"",0"
"2020-03-24,""Salvador"",8"
"2020-03-24,""Sao Paulo"",0"
"2020-03-24,""Teresina"",2"
"2020-03-24,""Vitoria"",1"
"2020-03-25,""Belo Horizonte"",3"
"2020-03-25,""Belem"",0"
"2020-03-25,""Curitiba"",1"
"2020-03-25,""Cuiaba"",20"
"2020-03-25,""Fortaleza"",26"
"2020-03-25,""Joao Pessoa"",2"
"2020-03-25,""Maceio"",0"
"2020-03-25,""Manaus"",7"
"2020-03-25,""Natal"",0"
"2020-03-25,""Porto Alegre"",40"
"2020-03-25,""Recife"",1"
"2020-03-25,""Salvador"",9"
"2020-03-25,""Sao Paulo"",416"
"2020-03-25,""Teresina"",1"
"2020-03-25,""Vitoria"",0"
"2020-03-26,""Belo Horizonte"",6"
"2020-03-26,""Belem"",2"
"2020-03-26,""Curitiba"",2"
"2020-03-26,""Cuiaba"",6"
"2020-03-26,""Fortaleza"",28"
"2020-03-26,""Joao Pessoa"",1"
"2020-03-26,""Maceio"",0"
"2020-03-26,""Manaus"",11"
"2020-03-26,""Natal"",4"
"2020-03-26,""Porto Alegre"",16"
"2020-03-26,""Recife"",2"
"2020-03-26,""Salvador"",6"
"2020-03-26,""Sao Paulo"",177"
"2020-03-26,""Teresina"",0"
"2020-03-26,""Vitoria"",2"
"2020-03-27,""Belo Horizonte"",22"
"2020-03-27,""Belem"",3"
"2020-03-27,""Curitiba"",0"
"2020-03-27,""Cuiaba"",5"
"2020-03-27,""Fortaleza"",44"
"2020-03-27,""Joao Pessoa"",2"
"2020-03-27,""Maceio"",1"
"2020-03-27,""Manaus"",12"
"2020-03-27,""Natal"",6"
"2020-03-27,""Porto Alegre"",4"
"2020-03-27,""Recife"",5"
"2020-03-27,""Salvador"",18"
"2020-03-27,""Sao Paulo"",145"
"2020-03-27,""Teresina"",0"
"2020-03-27,""Vitoria"",1"
"2020-03-28,""Belo Horizonte"",11"
"2020-03-28,""Belem"",1"
"2020-03-28,""Curitiba"",0"
"2020-03-28,""Cuiaba"",3"
"2020-03-28,""Fortaleza"",36"
"2020-03-28,""Goiania"",1"
"2020-03-28,""Joao Pessoa"",3"
"2020-03-28,""Maceio"",2"
"2020-03-28,""Manaus"",30"
"2020-03-28,""Natal"",15"
"2020-03-28,""Porto Alegre"",0"
"2020-03-28,""Recife"",8"
"2020-03-28,""Salvador"",3"
"2020-03-28,""Sao Paulo"",0"
"2020-03-28,""Teresina"",0"
"2020-03-28,""Vitoria"",2"
"2020-03-29,""Belo Horizonte"",14"
"2020-03-29,""Belem"",2"
"2020-03-29,""Curitiba"",0"
"2020-03-29,""Cuiaba"",-1"
"2020-03-29,""Fortaleza"",34"
"2020-03-29,""Goiania"",0"
"2020-03-29,""Joao Pessoa"",0"
"2020-03-29,""Maceio"",-1"
"2020-03-29,""Manaus"",26"
"2020-03-29,""Natal"",0"
"2020-03-29,""Porto Alegre"",28"
"2020-03-29,""Recife"",4"
"2020-03-29,""Salvador"",22"
"2020-03-29,""Sao Paulo"",0"
"2020-03-29,""Teresina"",5"
"2020-03-29,""Vitoria"",1"
"2020-03-30,""Belo Horizonte"",20"
"2020-03-30,""Belem"",5"
"2020-03-30,""Curitiba"",4"
"2020-03-30,""Cuiaba"",4"
"2020-03-30,""Fortaleza"",15"
"2020-03-30,""Goiania"",0"
"2020-03-30,""Joao Pessoa"",2"
"2020-03-30,""Maceio"",0"
"2020-03-30,""Manaus"",9"
"2020-03-30,""Natal"",2"
"2020-03-30,""Porto Alegre"",8"
"2020-03-30,""Recife"",2"
"2020-03-30,""Salvador"",14"
"2020-03-30,""Sao Paulo"",189"
"2020-03-30,""Teresina"",2"
"2020-03-30,""Vitoria"",5"
"2020-03-31,""Belo Horizonte"",0"
"2020-03-31,""Belem"",4"
"2020-03-31,""Curitiba"",6"
"2020-03-31,""Cuiaba"",10"
"2020-03-31,""Fortaleza"",18"
"2020-03-31,""Goiania"",0"
"2020-03-31,""Joao Pessoa"",1"
"2020-03-31,""Maceio"",1"
"2020-03-31,""Manaus"",19"
"2020-03-31,""Natal"",6"
"2020-03-31,""Porto Alegre"",47"
"2020-03-31,""Recife"",6"
"2020-03-31,""Salvador"",15"
"2020-03-31,""Sao Paulo"",652"
"2020-03-31,""Teresina"",0"
"2020-03-31,""Vitoria"",2"
"2020-04-01,""Belo Horizonte"",25"
"2020-04-01,""Belem"",4"
"2020-04-01,""Curitiba"",1"
"2020-04-01,""Cuiaba"",10"
"2020-04-01,""Fortaleza"",42"
"2020-04-01,""Goiania"",0"
"2020-04-01,""Joao Pessoa"",2"
"2020-04-01,""Maceio"",0"
"2020-04-01,""Manaus"",20"
"2020-04-01,""Natal"",6"
"2020-04-01,""Porto Alegre"",0"
"2020-04-01,""Recife"",6"
"2020-04-01,""Salvador"",21"
"2020-04-01,""Sao Paulo"",533"
"2020-04-01,""Teresina"",1"
"2020-04-01,""Vitoria"",6"
"2020-04-02,""Belo Horizonte"",22"
"2020-04-02,""Belem"",3"
"2020-04-02,""Curitiba"",6"
"2020-04-02,""Cuiaba"",2"
"2020-04-02,""Fortaleza"",113"
"2020-04-02,""Goiania"",0"
"2020-04-02,""Joao Pessoa"",8"
"2020-04-02,""Maceio"",0"
"2020-04-02,""Manaus"",26"
"2020-04-02,""Natal"",8"
"2020-04-02,""Porto Alegre"",42"
"2020-04-02,""Recife"",10"
"2020-04-02,""Salvador"",14"
"2020-04-02,""Sao Paulo"",397"
"2020-04-02,""Teresina"",0"
"2020-04-02,""Vitoria"",2"
"2020-04-03,""Belo Horizonte"",15"
"2020-04-03,""Belem"",14"
"2020-04-03,""Curitiba"",0"
"2020-04-03,""Cuiaba"",15"
"2020-04-03,""Fortaleza"",74"
"2020-04-03,""Goiania"",0"
"2020-04-03,""Joao Pessoa"",1"
"2020-04-03,""Maceio"",4"
"2020-04-03,""Manaus"",27"
"2020-04-03,""Natal"",21"
"2020-04-03,""Porto Alegre"",1"
"2020-04-03,""Recife"",18"
"2020-04-03,""Salvador"",16"
"2020-04-03,""Sao Paulo"",387"
"2020-04-03,""Teresina"",2"
"2020-04-03,""Vitoria"",3"
"2020-04-04,""Belo Horizonte"",12"
"2020-04-04,""Belem"",3"
"2020-04-04,""Curitiba"",13"
"2020-04-04,""Cuiaba"",39"
"2020-04-04,""Fortaleza"",81"
"2020-04-04,""Goiania"",0"
"2020-04-04,""Joao Pessoa"",2"
"2020-04-04,""Maceio"",0"
"2020-04-04,""Manaus"",51"
"2020-04-04,""Natal"",0"
"2020-04-04,""Porto Alegre"",8"
"2020-04-04,""Recife"",27"
"2020-04-04,""Salvador"",32"
"2020-04-04,""Sao Paulo"",294"
"2020-04-04,""Teresina"",2"
"2020-04-04,""Vitoria"",4"
"2020-04-05,""Belo Horizonte"",25"
"2020-04-05,""Belem"",4"
"2020-04-05,""Curitiba"",0"
"2020-04-05,""Cuiaba"",19"
"2020-04-05,""Fortaleza"",188"
"2020-04-05,""Goiania"",0"
"2020-04-05,""Joao Pessoa"",0"
"2020-04-05,""Maceio"",3"
"2020-04-05,""Manaus"",96"
"2020-04-05,""Natal"",36"
"2020-04-05,""Porto Alegre"",13"
"2020-04-05,""Recife"",20"
"2020-04-05,""Salvador"",29"
"2020-04-05,""Sao Paulo"",116"
"2020-04-05,""Teresina"",0"
"2020-04-05,""Vitoria"",19"
"2020-04-06,""Belo Horizonte"",2"
"2020-04-06,""Belem"",26"
"2020-04-06,""Curitiba"",5"
"2020-04-06,""Cuiaba"",3"
"2020-04-06,""Fortaleza"",60"
"2020-04-06,""Goiania"",0"
"2020-04-06,""Joao Pessoa"",1"
"2020-04-06,""Maceio"",2"
"2020-04-06,""Manaus"",94"
"2020-04-06,""Natal"",0"
"2020-04-06,""Porto Alegre"",-1"
"2020-04-06,""Recife"",7"
"2020-04-06,""Salvador"",19"
"2020-04-06,""Sao Paulo"",142"
"2020-04-06,""Teresina"",1"
"2020-04-06,""Vitoria"",2"
"2020-04-07,""Belo Horizonte"",11"
"2020-04-07,""Belem"",25"
"2020-04-07,""Curitiba"",0"
"2020-04-07,""Cuiaba"",19"
"2020-04-07,""Fortaleza"",124"
"2020-04-07,""Goiania"",4"
"2020-04-07,""Joao Pessoa"",3"
"2020-04-07,""Maceio"",2"
"2020-04-07,""Manaus"",87"
"2020-04-07,""Natal"",3"
"2020-04-07,""Porto Alegre"",19"
"2020-04-07,""Recife"",75"
"2020-04-07,""Salvador"",6"
"2020-04-07,""Sao Paulo"",504"
"2020-04-07,""Teresina"",2"
"2020-04-07,""Vitoria"",1"
"2020-04-08,""Belo Horizonte"",24"
"2020-04-08,""Belem"",11"
"2020-04-08,""Curitiba"",7"
"2020-04-08,""Cuiaba"",11"
"2020-04-08,""Fortaleza"",185"
"2020-04-08,""Goiania"",2"
"2020-04-08,""Joao Pessoa"",10"
"2020-04-08,""Maceio"",3"
"2020-04-08,""Manaus"",152"
"2020-04-08,""Natal"",0"
"2020-04-08,""Porto Alegre"",7"
"2020-04-08,""Recife"",33"
"2020-04-08,""Salvador"",23"
"2020-04-08,""Sao Paulo"",689"
"2020-04-08,""Teresina"",7"
"2020-04-08,""Vitoria"",12"
"2020-04-09,""Belo Horizonte"",11"
"2020-04-09,""Belem"",3"
"2020-04-09,""Curitiba"",8"
"2020-04-09,""Cuiaba"",32"
"2020-04-09,""Fortaleza"",45"
"2020-04-09,""Goiania"",1"
"2020-04-09,""Joao Pessoa"",19"
"2020-04-09,""Maceio"",0"
"2020-04-09,""Manaus"",88"
"2020-04-09,""Natal"",0"
"2020-04-09,""Porto Alegre"",24"
"2020-04-09,""Recife"",86"
"2020-04-09,""Salvador"",22"
"2020-04-09,""Sao Paulo"",530"
"2020-04-09,""Teresina"",1"
"2020-04-09,""Vitoria"",4"
"2020-04-10,""Belo Horizonte"",20"
"2020-04-10,""Belem"",33"
"2020-04-10,""Curitiba"",2"
"2020-04-10,""Cuiaba"",14"
"2020-04-10,""Fortaleza"",83"
"2020-04-10,""Goiania"",0"
"2020-04-10,""Joao Pessoa"",5"
"2020-04-10,""Maceio"",7"
"2020-04-10,""Manaus"",63"
"2020-04-10,""Natal"",1"
"2020-04-10,""Porto Alegre"",0"
"2020-04-10,""Recife"",73"
"2020-04-10,""Salvador"",29"
"2020-04-10,""Sao Paulo"",505"
"2020-04-10,""Teresina"",1"
"2020-04-10,""Vitoria"",15"
"2020-04-11,""Belo Horizonte"",8"
"2020-04-11,""Belem"",14"
"2020-04-11,""Curitiba"",4"
"2020-04-11,""Cuiaba"",28"
"2020-04-11,""Fortaleza"",91"
"2020-04-11,""Goiania"",2"
"2020-04-11,""Joao Pessoa"",14"
"2020-04-11,""Maceio"",3"
"2020-04-11,""Manaus"",69"
"2020-04-11,""Natal"",14"
"2020-04-11,""Porto Alegre"",8"
"2020-04-11,""Recife"",73"
"2020-04-11,""Salvador"",12"
"2020-04-11,""Sao Paulo"",149"
"2020-04-11,""Teresina"",3"
"2020-04-11,""Vitoria"",5"
"2020-04-12,""Belo Horizonte"",17"
"2020-04-12,""Belem"",19"
"2020-04-12,""Curitiba"",0"
"2020-04-12,""Cuiaba"",23"
"2020-04-12,""Fortaleza"",72"
"2020-04-12,""Goiania"",0"
"2020-04-12,""Joao Pessoa"",8"
"2020-04-12,""Maceio"",0"
"2020-04-12,""Manaus"",121"
"2020-04-12,""Natal"",14"
"2020-04-12,""Porto Alegre"",3"
"2020-04-12,""Recife"",71"
"2020-04-12,""Salvador"",9"
"2020-04-12,""Sao Paulo"",221"
"2020-04-12,""Teresina"",6"
"2020-04-12,""Vitoria"",10"
"2020-04-13,""Belo Horizonte"",2"
"2020-04-13,""Belem"",38"
"2020-04-13,""Curitiba"",8"
"2020-04-13,""Cuiaba"",-3"
"2020-04-13,""Fortaleza"",157"
"2020-04-13,""Goiania"",0"
"2020-04-13,""Joao Pessoa"",17"
"2020-04-13,""Maceio"",10"
"2020-04-13,""Manaus"",53"
"2020-04-13,""Natal"",14"
"2020-04-13,""Porto Alegre"",1"
"2020-04-13,""Recife"",115"
"2020-04-13,""Salvador"",26"
"2020-04-13,""Sao Paulo"",66"
"2020-04-13,""Teresina"",5"
"2020-04-13,""Vitoria"",8"
"2020-04-14,""Belo Horizonte"",16"
"2020-04-14,""Belem"",54"
"2020-04-14,""Curitiba"",3"
"2020-04-14,""Cuiaba"",3"
"2020-04-14,""Fortaleza"",108"
"2020-04-14,""Goiania"",6"
"2020-04-14,""Joao Pessoa"",12"
"2020-04-14,""Maceio"",12"
"2020-04-14,""Manaus"",189"
"2020-04-14,""Natal"",12"
"2020-04-14,""Porto Alegre"",12"
"2020-04-14,""Recife"",61"
"2020-04-14,""Salvador"",38"
"2020-04-14,""Sao Paulo"",287"
"2020-04-14,""Teresina"",16"
"2020-04-14,""Vitoria"",16"
"2020-04-15,""Belo Horizonte"",7"
"2020-04-15,""Belem"",56"
"2020-04-15,""Curitiba"",4"
"2020-04-15,""Cuiaba"",4"
"2020-04-15,""Fortaleza"",152"
"2020-04-15,""Goiania"",0"
"2020-04-15,""Joao Pessoa"",9"
"2020-04-15,""Maceio"",8"
"2020-04-15,""Manaus"",55"
"2020-04-15,""Natal"",1"
"2020-04-15,""Porto Alegre"",23"
"2020-04-15,""Recife"",124"
"2020-04-15,""Salvador"",94"
"2020-04-15,""Sao Paulo"",1059"
"2020-04-15,""Teresina"",14"
"2020-04-15,""Vitoria"",40"
"2020-04-16,""Belo Horizonte"",10"
"2020-04-16,""Belem"",61"
"2020-04-16,""Curitiba"",4"
"2020-04-16,""Cuiaba"",14"
"2020-04-16,""Fortaleza"",95"
"2020-04-16,""Goiania"",1"
"2020-04-16,""Joao Pessoa"",18"
"2020-04-16,""Maceio"",3"
"2020-04-16,""Manaus"",109"
"2020-04-16,""Natal"",32"
"2020-04-16,""Porto Alegre"",11"
"2020-04-16,""Recife"",101"
"2020-04-16,""Salvador"",50"
"2020-04-16,""Sao Paulo"",144"
"2020-04-16,""Teresina"",9"
"2020-04-16,""Vitoria"",33"
"2020-04-17,""Belo Horizonte"",16"
"2020-04-17,""Belem"",46"
"2020-04-17,""Curitiba"",5"
"2020-04-17,""Cuiaba"",15"
"2020-04-17,""Fortaleza"",259"
"2020-04-17,""Goiania"",5"
"2020-04-17,""Joao Pessoa"",6"
"2020-04-17,""Maceio"",20"
"2020-04-17,""Manaus"",72"
"2020-04-17,""Natal"",32"
"2020-04-17,""Porto Alegre"",8"
"2020-04-17,""Recife"",178"
"2020-04-17,""Salvador"",71"
"2020-04-17,""Sao Luis"",1"
"2020-04-17,""Sao Paulo"",836"
"2020-04-17,""Teresina"",8"
"2020-04-17,""Vitoria"",1"
"2020-04-18,""Belo Horizonte"",14"
"2020-04-18,""Belem"",11"
"2020-04-18,""Curitiba"",3"
"2020-04-18,""Cuiaba"",11"
"2020-04-18,""Fortaleza"",262"
"2020-04-18,""Goiania"",0"
"2020-04-18,""Joao Pessoa"",15"
"2020-04-18,""Maceio"",17"
"2020-04-18,""Manaus"",62"
"2020-04-18,""Natal"",23"
"2020-04-18,""Porto Alegre"",5"
"2020-04-18,""Recife"",119"
"2020-04-18,""Salvador"",117"
"2020-04-18,""Sao Luis"",0"
"2020-04-18,""Sao Paulo"",684"
"2020-04-18,""Teresina"",17"
"2020-04-18,""Vitoria"",35"
"2020-04-19,""Belo Horizonte"",28"
"2020-04-19,""Belem"",21"
"2020-04-19,""Curitiba"",1"
"2020-04-19,""Cuiaba"",14"
"2020-04-19,""Fortaleza"",126"
"2020-04-19,""Goiania"",0"
"2020-04-19,""Joao Pessoa"",9"
"2020-04-19,""Maceio"",24"
"2020-04-19,""Manaus"",71"
"2020-04-19,""Natal"",20"
"2020-04-19,""Porto Alegre"",0"
"2020-04-19,""Recife"",144"
"2020-04-19,""Salvador"",4"
"2020-04-19,""Sao Luis"",0"
"2020-04-19,""Sao Paulo"",240"
"2020-04-19,""Teresina"",11"
"2020-04-19,""Vitoria"",15"
"2020-04-20,""Belo Horizonte"",12"
"2020-04-20,""Belem"",143"
"2020-04-20,""Curitiba"",4"
"2020-04-20,""Cuiaba"",9"
"2020-04-20,""Fortaleza"",152"
"2020-04-20,""Goiania"",2"
"2020-04-20,""Joao Pessoa"",13"
"2020-04-20,""Maceio"",9"
"2020-04-20,""Manaus"",108"
"2020-04-20,""Natal"",4"
"2020-04-20,""Porto Alegre"",16"
"2020-04-20,""Recife"",153"
"2020-04-20,""Salvador"",60"
"2020-04-20,""Sao Luis"",0"
"2020-04-20,""Sao Paulo"",147"
"2020-04-20,""Teresina"",14"
"2020-04-20,""Vitoria"",6"
"2020-04-21,""Belo Horizonte"",7"
"2020-04-21,""Belem"",64"
"2020-04-21,""Curitiba"",0"
"2020-04-21,""Cuiaba"",4"
"2020-04-21,""Fortaleza"",178"
"2020-04-21,""Goiania"",0"
"2020-04-21,""Joao Pessoa"",20"
"2020-04-21,""Maceio"",36"
"2020-04-21,""Manaus"",37"
"2020-04-21,""Natal"",21"
"2020-04-21,""Porto Alegre"",3"
"2020-04-21,""Recife"",135"
"2020-04-21,""Salvador"",103"
"2020-04-21,""Sao Luis"",0"
"2020-04-21,""Sao Paulo"",527"
"2020-04-21,""Teresina"",14"
"2020-04-21,""Vitoria"",25"
"2020-04-22,""Belo Horizonte"",20"
"2020-04-22,""Belem"",102"
"2020-04-22,""Curitiba"",6"
"2020-04-22,""Cuiaba"",7"
"2020-04-22,""Fortaleza"",285"
"2020-04-22,""Goiania"",0"
"2020-04-22,""Joao Pessoa"",25"
"2020-04-22,""Maceio"",29"
"2020-04-22,""Manaus"",149"
"2020-04-22,""Natal"",31"
"2020-04-22,""Porto Alegre"",8"
"2020-04-22,""Recife"",217"
