"regionname","date","cases"
"Queensland",2020-02-12,5
"South Australia",2020-02-12,2
"Tasmania",2020-02-12,0
"Victoria",2020-02-12,4
"Western Australia",2020-02-12,0
"Australian Capital Territory",2020-02-13,0
"New South Wales",2020-02-13,4
"Northern Territory",2020-02-13,0
"Queensland",2020-02-13,5
"South Australia",2020-02-13,2
"Tasmania",2020-02-13,0
"Victoria",2020-02-13,4
"Western Australia",2020-02-13,0
"Australian Capital Territory",2020-02-14,0
"New South Wales",2020-02-14,4
"Northern Territory",2020-02-14,0
"Queensland",2020-02-14,5
"South Australia",2020-02-14,2
"Tasmania",2020-02-14,0
"Victoria",2020-02-14,4
"Western Australia",2020-02-14,0
"Australian Capital Territory",2020-02-15,0
"New South Wales",2020-02-15,4
"Northern Territory",2020-02-15,0
"Queensland",2020-02-15,5
"South Australia",2020-02-15,2
"Tasmania",2020-02-15,0
"Victoria",2020-02-15,4
"Western Australia",2020-02-15,0
"Australian Capital Territory",2020-02-16,0
"New South Wales",2020-02-16,4
"Northern Territory",2020-02-16,0
"Queensland",2020-02-16,5
"South Australia",2020-02-16,2
"Tasmania",2020-02-16,0
"Victoria",2020-02-16,4
"Western Australia",2020-02-16,0
"Australian Capital Territory",2020-02-17,0
"New South Wales",2020-02-17,4
"Northern Territory",2020-02-17,0
"Queensland",2020-02-17,5
"South Australia",2020-02-17,2
"Tasmania",2020-02-17,0
"Victoria",2020-02-17,4
"Western Australia",2020-02-17,0
"Australian Capital Territory",2020-02-18,0
"New South Wales",2020-02-18,4
"Northern Territory",2020-02-18,0
"Queensland",2020-02-18,5
"South Australia",2020-02-18,2
"Tasmania",2020-02-18,0
"Victoria",2020-02-18,4
"Western Australia",2020-02-18,0
"Australian Capital Territory",2020-02-19,0
"New South Wales",2020-02-19,4
"Northern Territory",2020-02-19,0
"Queensland",2020-02-19,5
"South Australia",2020-02-19,2
"Tasmania",2020-02-19,0
"Victoria",2020-02-19,4
"Western Australia",2020-02-19,0
"Australian Capital Territory",2020-02-20,0
"New South Wales",2020-02-20,4
"Northern Territory",2020-02-20,0
"Queensland",2020-02-20,5
"South Australia",2020-02-20,2
"Tasmania",2020-02-20,0
"Victoria",2020-02-20,4
"Western Australia",2020-02-20,0
"Australian Capital Territory",2020-02-21,0
"New South Wales",2020-02-21,4
"Northern Territory",2020-02-21,0
"Queensland",2020-02-21,5
"South Australia",2020-02-21,2
"Tasmania",2020-02-21,0
"Victoria",2020-02-21,4
"Western Australia",2020-02-21,0
"Australian Capital Territory",2020-02-22,0
"New South Wales",2020-02-22,4
"Northern Territory",2020-02-22,0
"Queensland",2020-02-22,5
"South Australia",2020-02-22,2
"Tasmania",2020-02-22,0
"Victoria",2020-02-22,4
"Western Australia",2020-02-22,0
"Australian Capital Territory",2020-02-23,0
"New South Wales",2020-02-23,4
"Northern Territory",2020-02-23,0
"Queensland",2020-02-23,5
"South Australia",2020-02-23,2
"Tasmania",2020-02-23,0
"Victoria",2020-02-23,4
"Western Australia",2020-02-23,0
"Australian Capital Territory",2020-02-24,0
"New South Wales",2020-02-24,4
"Northern Territory",2020-02-24,0
"Queensland",2020-02-24,5
"South Australia",2020-02-24,2
"Tasmania",2020-02-24,0
"Victoria",2020-02-24,4
"Western Australia",2020-02-24,0
"Australian Capital Territory",2020-02-25,0
"New South Wales",2020-02-25,4
"Northern Territory",2020-02-25,0
"Queensland",2020-02-25,5
"South Australia",2020-02-25,2
"Tasmania",2020-02-25,0
"Victoria",2020-02-25,4
"Western Australia",2020-02-25,0
"Australian Capital Territory",2020-02-26,0
"New South Wales",2020-02-26,4
"Northern Territory",2020-02-26,0
"Queensland",2020-02-26,5
"South Australia",2020-02-26,2
"Tasmania",2020-02-26,0
"Victoria",2020-02-26,4
"Western Australia",2020-02-26,0
"Australian Capital Territory",2020-02-27,0
"New South Wales",2020-02-27,4
"Northern Territory",2020-02-27,0
"Queensland",2020-02-27,5
"South Australia",2020-02-27,2
"Tasmania",2020-02-27,0
"Victoria",2020-02-27,4
"Western Australia",2020-02-27,0
"Australian Capital Territory",2020-02-28,0
"New South Wales",2020-02-28,4
"Northern Territory",2020-02-28,0
"Queensland",2020-02-28,5
