"date","regionname","cases"
2022-03-03,"Scotland",9491
2022-03-02,"Scotland",8725
2022-03-01,"Scotland",7497
2022-02-28,"Scotland",16349
2022-02-27,"Scotland",0
2022-02-26,"Scotland",0
2022-02-25,"Scotland",5484
2022-02-24,"Scotland",7195
2022-02-23,"Scotland",6756
2022-02-22,"Scotland",6427
2022-02-21,"Scotland",5307
2022-02-20,"Scotland",5474
2022-02-19,"Scotland",5316
2022-02-18,"Scotland",7056
2022-02-17,"Scotland",7144
2022-02-16,"Scotland",7449
2022-02-15,"Scotland",5805
2022-02-14,"Scotland",5118
2022-02-13,"Scotland",5301
2022-02-12,"Scotland",5601
2022-02-11,"Scotland",7341
2022-02-10,"Scotland",7275
2022-02-09,"Scotland",3796
2022-02-08,"Scotland",2664
2022-02-07,"Scotland",2535
2022-02-06,"Scotland",3242
2022-02-05,"Scotland",2915
2022-02-04,"Scotland",4429
2022-02-03,"Scotland",4355
2022-02-02,"Scotland",4509
2022-02-01,"Scotland",2848
2022-01-31,"Scotland",1961
2022-01-30,"Scotland",3539
2022-01-29,"Scotland",3342
2022-01-28,"Scotland",3956
2022-01-27,"Scotland",4333
2022-01-26,"Scotland",4615
2022-01-25,"Scotland",3024
2022-01-24,"Scotland",2956
2022-01-23,"Scotland",3518
2022-01-22,"Scotland",3456
2022-01-21,"Scotland",3890
2022-01-20,"Scotland",4743
2022-01-19,"Scotland",4937
2022-01-18,"Scotland",3507
2022-01-17,"Scotland",2910
2022-01-16,"Scotland",4117
2022-01-15,"Scotland",4469
2022-01-14,"Scotland",5977
2022-01-13,"Scotland",5186
2022-01-12,"Scotland",7606
2022-01-11,"Scotland",10392
2022-01-10,"Scotland",11827
2022-01-09,"Scotland",7561
2022-01-08,"Scotland",12602
2022-01-07,"Scotland",14486
2022-01-06,"Scotland",11360
2022-01-05,"Scotland",16103
2022-01-04,"Scotland",17259
2022-01-03,"Scotland",20217
2022-01-02,"Scotland",14080
2022-01-01,"Scotland",17065
2021-12-31,"Scotland",11962
2021-12-30,"Scotland",16857
2021-12-29,"Scotland",15849
