"regionname,""date"",""cases"""
Wisconsin,2020-10-23,3787
Wyoming,2020-10-23,330
Alaska,2020-10-24,246
Alabama,2020-10-24,1196
Arkansas,2020-10-24,687
Arizona,2020-10-24,1226
California,2020-10-24,3386
Colorado,2020-10-24,1610
Connecticut,2020-10-24,775
District of Columbia,2020-10-24,67
Delaware,2020-10-24,113
Florida,2020-10-24,2838
Georgia,2020-10-24,1330
Guam,2020-10-24,44
Hawaii,2020-10-24,8
Iowa,2020-10-24,1472
Idaho,2020-10-24,712
Illinois,2020-10-24,8043
Indiana,2020-10-24,1460
Kansas,2020-10-24,894
Kentucky,2020-10-24,867
Louisiana,2020-10-24,488
Massachusetts,2020-10-24,953
Maryland,2020-10-24,574
Maine,2020-10-24,71
Michigan,2020-10-24,1525
Minnesota,2020-10-24,1898
Missouri,2020-10-24,1856
Mississippi,2020-10-24,5
Montana,2020-10-24,623
North Carolina,2020-10-24,3076
North Dakota,2020-10-24,999
Nebraska,2020-10-24,790
New Hampshire,2020-10-24,70
New Jersey,2020-10-24,1116
New Mexico,2020-10-24,791
Nevada,2020-10-24,627
New York,2020-10-24,1778
Ohio,2020-10-24,2137
Oklahoma,2020-10-24,1206
Oregon,2020-10-24,509
Pennsylvania,2020-10-24,1603
PR,2020-10-24,108
South Carolina,2020-10-24,892
South Dakota,2020-10-24,316
Tennessee,2020-10-24,1905
Texas,2020-10-24,2222
Utah,2020-10-24,1359
Virginia,2020-10-24,1092
Vermont,2020-10-24,15
Washington,2020-10-24,708
Wisconsin,2020-10-24,3501
West Virginia,2020-10-24,1
Wyoming,2020-10-24,283
Alaska,2020-10-25,223
Alabama,2020-10-25,915
Arkansas,2020-10-25,666
Arizona,2020-10-25,1069
California,2020-10-25,3030
Colorado,2020-10-25,2162
Connecticut,2020-10-25,73
District of Columbia,2020-10-25,25
Delaware,2020-10-25,203
Florida,2020-10-25,1685
Georgia,2020-10-25,1205
Guam,2020-10-25,30
Hawaii,2020-10-25,3
Iowa,2020-10-25,1450
Idaho,2020-10-25,672
Illinois,2020-10-25,9986
Indiana,2020-10-25,1090
Kansas,2020-10-25,905
Kentucky,2020-10-25,848
Louisiana,2020-10-25,489
Massachusetts,2020-10-25,708
Maryland,2020-10-25,589
Maine,2020-10-25,72
Michigan,2020-10-25,1444
Minnesota,2020-10-25,1988
Missouri,2020-10-25,1867
Mississippi,2020-10-25,8
Montana,2020-10-25,592
North Carolina,2020-10-25,3026
North Dakota,2020-10-25,977
Nebraska,2020-10-25,778
New Hampshire,2020-10-25,88
New Jersey,2020-10-25,1846
New Mexico,2020-10-25,718
Nevada,2020-10-25,630
New York,2020-10-25,1607
Ohio,2020-10-25,2199
Oklahoma,2020-10-25,965
Oregon,2020-10-25,554
Pennsylvania,2020-10-25,1303
PR,2020-10-25,27
South Carolina,2020-10-25,979
South Dakota,2020-10-25,351
Tennessee,2020-10-25,1849
Texas,2020-10-25,2196
Utah,2020-10-25,1255
Virginia,2020-10-25,1096
Vermont,2020-10-25,20
Washington,2020-10-25,720
Wisconsin,2020-10-25,3660
Wyoming,2020-10-25,285
Alaska,2020-10-26,604
Alabama,2020-10-26,1272
Arkansas,2020-10-26,1246
Arizona,2020-10-26,1242
California,2020-10-26,5657
Colorado,2020-10-26,1730
Connecticut,2020-10-26,1300
District of Columbia,2020-10-26,20
Delaware,2020-10-26,85
Florida,2020-10-26,2175
Georgia,2020-10-26,1472
Guam,2020-10-26,58
Hawaii,2020-10-26,9
Iowa,2020-10-26,1822
Idaho,2020-10-26,1167
Illinois,2020-10-26,11465
Indiana,2020-10-26,4344
Kansas,2020-10-26,1676
Kentucky,2020-10-26,1663
Louisiana,2020-10-26,959
Massachusetts,2020-10-26,1522
Maryland,2020-10-26,1106
Maine,2020-10-26,99
Michigan,2020-10-26,2268
Minnesota,2020-10-26,3443
Missouri,2020-10-26,3722
Mississippi,2020-10-26,25
Montana,2020-10-26,835
North Carolina,2020-10-26,5377
North Dakota,2020-10-26,1160
Nebraska,2020-10-26,1141
New Hampshire,2020-10-26,113
New Jersey,2020-10-26,2516
New Mexico,2020-10-26,977
Nevada,2020-10-26,902
New York,2020-10-26,3035
Ohio,2020-10-26,9046
Oklahoma,2020-10-26,1242
Oregon,2020-10-26,616
Pennsylvania,2020-10-26,2965
PR,2020-10-26,210
Rhode Island,2020-10-26,450
South Carolina,2020-10-26,1625
South Dakota,2020-10-26,415
Tennessee,2020-10-26,3238
Texas,2020-10-26,3207
Utah,2020-10-26,2274
Virginia,2020-10-26,1355
Vermont,2020-10-26,27
Washington,2020-10-26,1124
Wisconsin,2020-10-26,5101
Wyoming,2020-10-26,544
Alaska,2020-10-27,502
Alabama,2020-10-27,1512
Arkansas,2020-10-27,1084
Arizona,2020-10-27,1745
California,2020-10-27,5047
Colorado,2020-10-27,1628
Connecticut,2020-10-27,741
District of Columbia,2020-10-27,31
Delaware,2020-10-27,139
Florida,2020-10-27,7566
Georgia,2020-10-27,1713
Guam,2020-10-27,29
Hawaii,2020-10-27,5
Iowa,2020-10-27,1913
Idaho,2020-10-27,1043
Illinois,2020-10-27,12144
Indiana,2020-10-27,3644
Kansas,2020-10-27,1570
Kentucky,2020-10-27,1582
Louisiana,2020-10-27,880
Massachusetts,2020-10-27,1388
Maryland,2020-10-27,1133
Maine,2020-10-27,113
Michigan,2020-10-27,2327
Minnesota,2020-10-27,3597
Missouri,2020-10-27,3341
Mississippi,2020-10-27,12
Montana,2020-10-27,622
North Carolina,2020-10-27,4668
North Dakota,2020-10-27,1213
Nebraska,2020-10-27,1218
New Hampshire,2020-10-27,229
New Jersey,2020-10-27,2151
New Mexico,2020-10-27,754
Nevada,2020-10-27,907
New York,2020-10-27,2907
Ohio,2020-10-27,3020
Oklahoma,2020-10-27,1258
Oregon,2020-10-27,624
Pennsylvania,2020-10-27,2565
PR,2020-10-27,202
Rhode Island,2020-10-27,410
South Carolina,2020-10-27,1224
South Dakota,2020-10-27,392
Tennessee,2020-10-27,2883
Texas,2020-10-27,2815
Utah,2020-10-27,2091
Virginia,2020-10-27,1432
Vermont,2020-10-27,28
Washington,2020-10-27,1145
Wisconsin,2020-10-27,4971
Wyoming,2020-10-27,579
Alaska,2020-10-28,651
Alabama,2020-10-28,1347
Arkansas,2020-10-28,1024
Arizona,2020-10-28,1720
California,2020-10-28,5119
Colorado,2020-10-28,2214
Connecticut,2020-10-28,538
District of Columbia,2020-10-28,37
Delaware,2020-10-28,150
Florida,2020-10-28,9284
Georgia,2020-10-28,2194
Guam,2020-10-28,32
Hawaii,2020-10-28,7
Iowa,2020-10-28,2024
Idaho,2020-10-28,1075
Illinois,2020-10-28,11544
Indiana,2020-10-28,3741
Kansas,2020-10-28,1746
Kentucky,2020-10-28,1674
Louisiana,2020-10-28,757
Massachusetts,2020-10-28,1580
Maryland,2020-10-28,1151
Maine,2020-10-28,123
Michigan,2020-10-28,2443
Minnesota,2020-10-28,3707
Missouri,2020-10-28,3609
Mississippi,2020-10-28,16
Montana,2020-10-28,860
North Carolina,2020-10-28,4813
North Dakota,2020-10-28,1219
Nebraska,2020-10-28,1164
New Hampshire,2020-10-28,110
New Jersey,2020-10-28,2224
New Mexico,2020-10-28,998
Nevada,2020-10-28,854
New York,2020-10-28,3219
Ohio,2020-10-28,3307
Oklahoma,2020-10-28,1534
Oregon,2020-10-28,654
Pennsylvania,2020-10-28,2723
PR,2020-10-28,199
Rhode Island,2020-10-28,451
South Carolina,2020-10-28,883
South Dakota,2020-10-28,400
Tennessee,2020-10-28,2842
Texas,2020-10-28,2974
Utah,2020-10-28,2080
Virginia,2020-10-28,1331
Vermont,2020-10-28,22
Washington,2020-10-28,1162
Wisconsin,2020-10-28,5148
Wyoming,2020-10-28,502
Alaska,2020-10-29,498
Alabama,2020-10-29,1239
Arkansas,2020-10-29,1231
Arizona,2020-10-29,1895
California,2020-10-29,5091
Colorado,2020-10-29,2638
Connecticut,2020-10-29,598
District of Columbia,2020-10-29,21
Delaware,2020-10-29,188
Florida,2020-10-29,1667
Georgia,2020-10-29,1489
Guam,2020-10-29,30
Hawaii,2020-10-29,737
Iowa,2020-10-29,1929
Idaho,2020-10-29,968
Illinois,2020-10-29,9879
Indiana,2020-10-29,3947
Kansas,2020-10-29,1545
Kentucky,2020-10-29,1476
Louisiana,2020-10-29,753
Massachusetts,2020-10-29,1381
Maryland,2020-10-29,1132
Maine,2020-10-29,125
Michigan,2020-10-29,2028
Minnesota,2020-10-29,3452
Missouri,2020-10-29,3370
Mississippi,2020-10-29,15
Montana,2020-10-29,818
North Carolina,2020-10-29,3980
North Dakota,2020-10-29,1151
Nebraska,2020-10-29,1036
New Hampshire,2020-10-29,78
New Jersey,2020-10-29,2212
New Mexico,2020-10-29,1112
Nevada,2020-10-29,924
New York,2020-10-29,2965
Ohio,2020-10-29,2798
Oklahoma,2020-10-29,1439
Oregon,2020-10-29,543
Pennsylvania,2020-10-29,2668
PR,2020-10-29,134
Rhode Island,2020-10-29,50
South Carolina,2020-10-29,1147
South Dakota,2020-10-29,375
Tennessee,2020-10-29,2702
Texas,2020-10-29,2563
Utah,2020-10-29,1857
Virginia,2020-10-29,1276
Vermont,2020-10-29,17
Washington,2020-10-29,1158
Wisconsin,2020-10-29,4687
Wyoming,2020-10-29,468
Alaska,2020-10-30,512
Alabama,2020-10-30,1876
Arkansas,2020-10-30,1115
Arizona,2020-10-30,1824
California,2020-10-30,5756
Colorado,2020-10-30,2926
Connecticut,2020-10-30,786
District of Columbia,2020-10-30,29
Delaware,2020-10-30,192
Florida,2020-10-30,1794
Georgia,2020-10-30,1574
Guam,2020-10-30,35
Hawaii,2020-10-30,3
Iowa,2020-10-30,1964
Idaho,2020-10-30,1119
Illinois,2020-10-30,10489
Indiana,2020-10-30,3553
Kansas,2020-10-30,1706
Kentucky,2020-10-30,1386
Louisiana,2020-10-30,756
Massachusetts,2020-10-30,1178
Maryland,2020-10-30,1080
Maine,2020-10-30,114
Michigan,2020-10-30,2363
Minnesota,2020-10-30,3864
Missouri,2020-10-30,3309
Mississippi,2020-10-30,9
Montana,2020-10-30,878
North Carolina,2020-10-30,4441
North Dakota,2020-10-30,1345
Nebraska,2020-10-30,1155
New Hampshire,2020-10-30,103
New Jersey,2020-10-30,2285
New Mexico,2020-10-30,1058
Nevada,2020-10-30,870
New York,2020-10-30,2966
Ohio,2020-10-30,3031
Oklahoma,2020-10-30,1727
Oregon,2020-10-30,594
Pennsylvania,2020-10-30,2728
PR,2020-10-30,146
Rhode Island,2020-10-30,30
South Carolina,2020-10-30,1011
South Dakota,2020-10-30,394
Tennessee,2020-10-30,2774
Texas,2020-10-30,2843
Utah,2020-10-30,2133
Virginia,2020-10-30,1320
Vermont,2020-10-30,23
Washington,2020-10-30,1183
Wisconsin,2020-10-30,4687
Wyoming,2020-10-30,453
Alaska,2020-10-31,260
Alabama,2020-10-31,1629
Arkansas,2020-10-31,835
Arizona,2020-10-31,1550
California,2020-10-31,4628
Colorado,2020-10-31,2969
Connecticut,2020-10-31,1330
District of Columbia,2020-10-31,38
Delaware,2020-10-31,174
Florida,2020-10-31,1627
Georgia,2020-10-31,1994
Guam,2020-10-31,27
Hawaii,2020-10-31,1
Iowa,2020-10-31,1834
Idaho,2020-10-31,866
Illinois,2020-10-31,12525
Indiana,2020-10-31,1837
Kansas,2020-10-31,1324
Kentucky,2020-10-31,1100
Louisiana,2020-10-31,674
Massachusetts,2020-10-31,1041
Maryland,2020-10-31,764
Maine,2020-10-31,108
Michigan,2020-10-31,1888
Minnesota,2020-10-31,2862
Missouri,2020-10-31,2729
Mississippi,2020-10-31,9
Montana,2020-10-31,877
North Carolina,2020-10-31,3118
North Dakota,2020-10-31,1258
Nebraska,2020-10-31,1074
New Hampshire,2020-10-31,79
New Jersey,2020-10-31,1465
New Mexico,2020-10-31,796
Nevada,2020-10-31,859
New York,2020-10-31,1945
Ohio,2020-10-31,2952
Oklahoma,2020-10-31,1585
Oregon,2020-10-31,726
Pennsylvania,2020-10-31,1741
PR,2020-10-31,71
South Carolina,2020-10-31,921
South Dakota,2020-10-31,392
Tennessee,2020-10-31,1818
Texas,2020-10-31,2732
Utah,2020-10-31,1762
Virginia,2020-10-31,1191
Vermont,2020-10-31,43
Washington,2020-10-31,1018
Wisconsin,2020-10-31,3599
Wyoming,2020-10-31,324
Alaska,2020-11-01,236
Alabama,2020-11-01,963
Arkansas,2020-11-01,991
Arizona,2020-11-01,1504
California,2020-11-01,5198
Colorado,2020-11-01,2784
Connecticut,2020-11-01,882
District of Columbia,2020-11-01,11
Delaware,2020-11-01,185
Florida,2020-11-01,2055
Georgia,2020-11-01,1224
Guam,2020-11-01,29
Hawaii,2020-11-01,7
Iowa,2020-11-01,1764
Idaho,2020-11-01,920
Illinois,2020-11-01,12972
Indiana,2020-11-01,1607
Kansas,2020-11-01,1832
Kentucky,2020-11-01,1250
Louisiana,2020-11-01,778
Massachusetts,2020-11-01,807
Maryland,2020-11-01,918
Maine,2020-11-01,114
Michigan,2020-11-01,2167
Minnesota,2020-11-01,3364
Missouri,2020-11-01,3055
Mississippi,2020-11-01,9
Montana,2020-11-01,954
North Carolina,2020-11-01,3371
North Dakota,2020-11-01,1315
Nebraska,2020-11-01,1293
New Hampshire,2020-11-01,100
New Jersey,2020-11-01,2906
New Mexico,2020-11-01,1259
Nevada,2020-11-01,985
New York,2020-11-01,2152
Ohio,2020-11-01,3453
Oklahoma,2020-11-01,1613
Oregon,2020-11-01,812
Pennsylvania,2020-11-01,1845
PR,2020-11-01,69
South Carolina,2020-11-01,797
South Dakota,2020-11-01,416
Tennessee,2020-11-01,1955
Texas,2020-11-01,3583
Utah,2020-11-01,1833
Virginia,2020-11-01,1291
Vermont,2020-11-01,46
Washington,2020-11-01,1216
Wisconsin,2020-11-01,3829
Wyoming,2020-11-01,393
Alaska,2020-11-02,733
Alabama,2020-11-02,1289
Arkansas,2020-11-02,1720
Arizona,2020-11-02,2142
California,2020-11-02,8930
Colorado,2020-11-02,3106
Connecticut,2020-11-02,230
District of Columbia,2020-11-02,15
Delaware,2020-11-02,107
Florida,2020-11-02,2763
Georgia,2020-11-02,1631
Guam,2020-11-02,42
Hawaii,2020-11-02,22
Iowa,2020-11-02,1714
Idaho,2020-11-02,1524
Illinois,2020-11-02,14730
Indiana,2020-11-02,5529
Kansas,2020-11-02,2899
Kentucky,2020-11-02,2042
Louisiana,2020-11-02,1313
Massachusetts,2020-11-02,1974
Maryland,2020-11-02,1734
Maine,2020-11-02,237
Michigan,2020-11-02,3077
Minnesota,2020-11-02,5815
Missouri,2020-11-02,5476
Mississippi,2020-11-02,13
Montana,2020-11-02,982
North Carolina,2020-11-02,5983
North Dakota,2020-11-02,1536
Nebraska,2020-11-02,1569
New Hampshire,2020-11-02,137
New Jersey,2020-11-02,3119
New Mexico,2020-11-02,1508
Nevada,2020-11-02,1412
New York,2020-11-02,4077
Ohio,2020-11-02,4917
Oklahoma,2020-11-02,2079
Oregon,2020-11-02,1009
Pennsylvania,2020-11-02,3717
PR,2020-11-02,208
Rhode Island,2020-11-02,212
South Carolina,2020-11-02,1106
South Dakota,2020-11-02,528
Tennessee,2020-11-02,4674
Texas,2020-11-02,4443
Utah,2020-11-02,3148
Virginia,2020-11-02,1747
Vermont,2020-11-02,59
Washington,2020-11-02,1765
Wisconsin,2020-11-02,6290
West Virginia,2020-11-02,1
Wyoming,2020-11-02,782
Alaska,2020-11-03,557
Alabama,2020-11-03,1614
Arkansas,2020-11-03,1775
Arizona,2020-11-03,2673
California,2020-11-03,8581
Colorado,2020-11-03,3588
Connecticut,2020-11-03,1021
District of Columbia,2020-11-03,34
Delaware,2020-11-03,114
Florida,2020-11-03,2504
Georgia,2020-11-03,1653
Guam,2020-11-03,31
Hawaii,2020-11-03,10
Iowa,2020-11-03,1583
Idaho,2020-11-03,1345
Illinois,2020-11-03,12956
Indiana,2020-11-03,5163
Kansas,2020-11-03,2797
Kentucky,2020-11-03,1772
Louisiana,2020-11-03,1213
Massachusetts,2020-11-03,2049
Maryland,2020-11-03,1563
Maine,2020-11-03,201
Michigan,2020-11-03,2967
Minnesota,2020-11-03,6271
Missouri,2020-11-03,4597
Mississippi,2020-11-03,12
Montana,2020-11-03,1036
North Carolina,2020-11-03,5440
North Dakota,2020-11-03,1557
Nebraska,2020-11-03,1501
New Hampshire,2020-11-03,380
New Jersey,2020-11-03,3383
New Mexico,2020-11-03,1574
Nevada,2020-11-03,1390
New York,2020-11-03,4136
Ohio,2020-11-03,9203
Oklahoma,2020-11-03,2149
Oregon,2020-11-03,1063
Pennsylvania,2020-11-03,3661
PR,2020-11-03,90
South Carolina,2020-11-03,1854
South Dakota,2020-11-03,554
Tennessee,2020-11-03,3566
Texas,2020-11-03,4194
Utah,2020-11-03,2973
Virginia,2020-11-03,1638
Vermont,2020-11-03,78
Washington,2020-11-03,1833
Wisconsin,2020-11-03,6565
West Virginia,2020-11-03,2
Wyoming,2020-11-03,827
Alaska,2020-11-04,587
Alabama,2020-11-04,1338
Arkansas,2020-11-04,1796
Arizona,2020-11-04,2562
California,2020-11-04,8751
Colorado,2020-11-04,3538
Connecticut,2020-11-04,510
District of Columbia,2020-11-04,28
Delaware,2020-11-04,215
Florida,2020-11-04,2647
Georgia,2020-11-04,2313
Guam,2020-11-04,62
Hawaii,2020-11-04,4
Iowa,2020-11-04,2347
Idaho,2020-11-04,1498
Illinois,2020-11-04,12572
Indiana,2020-11-04,6122
Kansas,2020-11-04,3060
Kentucky,2020-11-04,1943
Louisiana,2020-11-04,1331
Massachusetts,2020-11-04,2301
Maryland,2020-11-04,1710
Maine,2020-11-04,224
Michigan,2020-11-04,3067
Minnesota,2020-11-04,7116
Missouri,2020-11-04,5498
Mississippi,2020-11-04,8
Montana,2020-11-04,954
North Carolina,2020-11-04,5303
North Dakota,2020-11-04,1583
Nebraska,2020-11-04,1535
New Hampshire,2020-11-04,135
New Jersey,2020-11-04,3455
New Mexico,2020-11-04,1413
Nevada,2020-11-04,1454
New York,2020-11-04,4606
Ohio,2020-11-04,5263
Oklahoma,2020-11-04,2354
Oregon,2020-11-04,1030
Pennsylvania,2020-11-04,3963
PR,2020-11-04,282
Rhode Island,2020-11-04,374
South Carolina,2020-11-04,1231
South Dakota,2020-11-04,583
Tennessee,2020-11-04,4075
Texas,2020-11-04,4437
Utah,2020-11-04,2961
Virginia,2020-11-04,1776
Vermont,2020-11-04,64
Washington,2020-11-04,1926
Wisconsin,2020-11-04,5961
West Virginia,2020-11-04,1
Wyoming,2020-11-04,942
Alaska,2020-11-05,594
Alabama,2020-11-05,1481
Arkansas,2020-11-05,1826
Arizona,2020-11-05,2609
California,2020-11-05,8514
Colorado,2020-11-05,3502
Connecticut,2020-11-05,1306
District of Columbia,2020-11-05,32
Delaware,2020-11-05,278
Florida,2020-11-05,2269
Georgia,2020-11-05,2043
Guam,2020-11-05,71
Hawaii,2020-11-05,8
Iowa,2020-11-05,4733
Idaho,2020-11-05,1469
Illinois,2020-11-05,10246
Indiana,2020-11-05,6550
Kansas,2020-11-05,3038
Kentucky,2020-11-05,1938
Louisiana,2020-11-05,1372
Massachusetts,2020-11-05,2441
Maryland,2020-11-05,1753
Maine,2020-11-05,200
Michigan,2020-11-05,2768
Minnesota,2020-11-05,7293
Missouri,2020-11-05,5840
Mississippi,2020-11-05,15
Montana,2020-11-05,1047
North Carolina,2020-11-05,5194
North Dakota,2020-11-05,1460
Nebraska,2020-11-05,1353
New Hampshire,2020-11-05,117
New Jersey,2020-11-05,3227
New Mexico,2020-11-05,1357
Nevada,2020-11-05,1344
New York,2020-11-05,4569
Ohio,2020-11-05,4920
Oklahoma,2020-11-05,2798
Oregon,2020-11-05,895
Pennsylvania,2020-11-05,4277
PR,2020-11-05,156
Rhode Island,2020-11-05,435
South Carolina,2020-11-05,1242
South Dakota,2020-11-05,534
Tennessee,2020-11-05,4247
Texas,2020-11-05,4298
Utah,2020-11-05,3047
Virginia,2020-11-05,1580
Vermont,2020-11-05,55
Washington,2020-11-05,1933
Wisconsin,2020-11-05,5468
Wyoming,2020-11-05,686
Alaska,2020-11-06,715
Alabama,2020-11-06,1666
Arkansas,2020-11-06,1765
Arizona,2020-11-06,2665
California,2020-11-06,8834
Colorado,2020-11-06,3867
Connecticut,2020-11-06,182
District of Columbia,2020-11-06,38
Delaware,2020-11-06,214
Florida,2020-11-06,2495
Georgia,2020-11-06,2784
Guam,2020-11-06,43
Hawaii,2020-11-06,9
Iowa,2020-11-06,3109
Idaho,2020-11-06,1463
Illinois,2020-11-06,11210
Indiana,2020-11-06,6003
Kansas,2020-11-06,3010
Kentucky,2020-11-06,2026
Louisiana,2020-11-06,1449
Massachusetts,2020-11-06,2363
Maryland,2020-11-06,1758
Maine,2020-11-06,227
Michigan,2020-11-06,3234
Minnesota,2020-11-06,7339
Missouri,2020-11-06,5308
Mississippi,2020-11-06,10
Montana,2020-11-06,1253
North Carolina,2020-11-06,5079
North Dakota,2020-11-06,1597
Nebraska,2020-11-06,1464
New Hampshire,2020-11-06,141
New Jersey,2020-11-06,3508
New Mexico,2020-11-06,1574
Nevada,2020-11-06,1609
New York,2020-11-06,4734
Ohio,2020-11-06,5206
Oklahoma,2020-11-06,3036
Oregon,2020-11-06,837
Pennsylvania,2020-11-06,4663
PR,2020-11-06,255
Rhode Island,2020-11-06,511
South Carolina,2020-11-06,1397
South Dakota,2020-11-06,659
Tennessee,2020-11-06,4009
Texas,2020-11-06,4379
Utah,2020-11-06,3222
Virginia,2020-11-06,1823
Vermont,2020-11-06,60
Washington,2020-11-06,1856
Wisconsin,2020-11-06,5657
West Virginia,2020-11-06,1
Wyoming,2020-11-06,796
Alaska,2020-11-07,585
Alabama,2020-11-07,1491
Arkansas,2020-11-07,1443
Arizona,2020-11-07,2204
California,2020-11-07,6700
Colorado,2020-11-07,3262
Connecticut,2020-11-07,1866
District of Columbia,2020-11-07,37
Delaware,2020-11-07,304
Florida,2020-11-07,2310
Georgia,2020-11-07,1779
Guam,2020-11-07,86
Hawaii,2020-11-07,8
Iowa,2020-11-07,3715
Idaho,2020-11-07,1034
Illinois,2020-11-07,11228
Indiana,2020-11-07,3247
Kansas,2020-11-07,2033
Kentucky,2020-11-07,1526
Louisiana,2020-11-07,1123
Massachusetts,2020-11-07,1588
Maryland,2020-11-07,1214
Maine,2020-11-07,183
Michigan,2020-11-07,2720
Minnesota,2020-11-07,5134
Missouri,2020-11-07,3920
Mississippi,2020-11-07,98
Montana,2020-11-07,1046
North Carolina,2020-11-07,4520
North Dakota,2020-11-07,1337
Nebraska,2020-11-07,1350
New Hampshire,2020-11-07,119
New Jersey,2020-11-07,4147
New Mexico,2020-11-07,1406
Nevada,2020-11-07,1233
New York,2020-11-07,3448
Ohio,2020-11-07,4443
Oklahoma,2020-11-07,2477
Oregon,2020-11-07,1035
Pennsylvania,2020-11-07,3230
PR,2020-11-07,66
South Carolina,2020-11-07,1452
South Dakota,2020-11-07,572
Tennessee,2020-11-07,2633
Texas,2020-11-07,4206
Utah,2020-11-07,2398
Virginia,2020-11-07,1524
Vermont,2020-11-07,75
Washington,2020-11-07,1589
Wisconsin,2020-11-07,4391
Wyoming,2020-11-07,594
Alaska,2020-11-08,286
Alabama,2020-11-08,1101
Arkansas,2020-11-08,1328
Arizona,2020-11-08,2118
California,2020-11-08,5782
Colorado,2020-11-08,3949
Connecticut,2020-11-08,1320
District of Columbia,2020-11-08,39
Delaware,2020-11-08,311
Florida,2020-11-08,2216
Georgia,2020-11-08,1416
Guam,2020-11-08,126
Hawaii,2020-11-08,4
Iowa,2020-11-08,3501
Idaho,2020-11-08,898
Illinois,2020-11-08,12667
Indiana,2020-11-08,2801
Kansas,2020-11-08,1977
Kentucky,2020-11-08,1536
Louisiana,2020-11-08,1151
Massachusetts,2020-11-08,1342
Maryland,2020-11-08,1314
Maine,2020-11-08,197
Michigan,2020-11-08,2499
Minnesota,2020-11-08,4954
Missouri,2020-11-08,3489
Mississippi,2020-11-08,11
Montana,2020-11-08,813
North Carolina,2020-11-08,4133
North Dakota,2020-11-08,1328
Nebraska,2020-11-08,1270
New Hampshire,2020-11-08,141
New Jersey,2020-11-08,2711
New Mexico,2020-11-08,1335
Nevada,2020-11-08,1128
New York,2020-11-08,3141
Ohio,2020-11-08,4675
Oklahoma,2020-11-08,2310
Oregon,2020-11-08,1006
Pennsylvania,2020-11-08,3056
PR,2020-11-08,65
Rhode Island,2020-11-08,1
South Carolina,2020-11-08,1204
South Dakota,2020-11-08,514
Tennessee,2020-11-08,2611
Texas,2020-11-08,3686
Utah,2020-11-08,2102
Virginia,2020-11-08,1608
Vermont,2020-11-08,66
Washington,2020-11-08,1252
Wisconsin,2020-11-08,4104
Wyoming,2020-11-08,511
Alaska,2020-11-09,984
Alabama,2020-11-09,1815
Arkansas,2020-11-09,2453
Arizona,2020-11-09,2387
California,2020-11-09,11499
Colorado,2020-11-09,3975
Connecticut,2020-11-09,1171
District of Columbia,2020-11-09,48
Delaware,2020-11-09,192
Florida,2020-11-09,2905
Georgia,2020-11-09,1963
Guam,2020-11-09,144
Hawaii,2020-11-09,8
Iowa,2020-11-09,3263
Idaho,2020-11-09,2110
Illinois,2020-11-09,13308
Indiana,2020-11-09,9127
Kansas,2020-11-09,3920
Kentucky,2020-11-09,2593
Louisiana,2020-11-09,2402
Massachusetts,2020-11-09,3100
Maryland,2020-11-09,2385
Maine,2020-11-09,247
Michigan,2020-11-09,3832
Minnesota,2020-11-09,8622
Missouri,2020-11-09,7401
Mississippi,2020-11-09,32
Montana,2020-11-09,1207
North Carolina,2020-11-09,7874
North Dakota,2020-11-09,1349
Nebraska,2020-11-09,1610
New Hampshire,2020-11-09,154
New Jersey,2020-11-09,5080
New Mexico,2020-11-09,1805
Nevada,2020-11-09,1729
New York,2020-11-09,6523
Ohio,2020-11-09,6974
Oklahoma,2020-11-09,2815
Oregon,2020-11-09,1112
Pennsylvania,2020-11-09,6718
PR,2020-11-09,359
Rhode Island,2020-11-09,641
South Carolina,2020-11-09,1605
South Dakota,2020-11-09,629
Tennessee,2020-11-09,6823
Texas,2020-11-09,5065
Utah,2020-11-09,4214
Virginia,2020-11-09,2156
Vermont,2020-11-09,97
Washington,2020-11-09,2579
Wisconsin,2020-11-09,6412
Wyoming,2020-11-09,1083
Alaska,2020-11-10,627
Alabama,2020-11-10,2107
Arkansas,2020-11-10,2027
Arizona,2020-11-10,2905
California,2020-11-10,11340
Colorado,2020-11-10,4541
Connecticut,2020-11-10,1466
District of Columbia,2020-11-10,72
Delaware,2020-11-10,224
Florida,2020-11-10,2951
Georgia,2020-11-10,4037
Guam,2020-11-10,68
Hawaii,2020-11-10,13
Iowa,2020-11-10,2677
Idaho,2020-11-10,1752
Illinois,2020-11-10,12513
Indiana,2020-11-10,8877
Kansas,2020-11-10,3548
Kentucky,2020-11-10,2441
Louisiana,2020-11-10,2157
Massachusetts,2020-11-10,2904
Maryland,2020-11-10,2206
Maine,2020-11-10,235
Michigan,2020-11-10,3513
Minnesota,2020-11-10,8041
Missouri,2020-11-10,6425
Mississippi,2020-11-10,23
Montana,2020-11-10,1041
North Carolina,2020-11-10,7032
North Dakota,2020-11-10,1424
Nebraska,2020-11-10,1463
New Hampshire,2020-11-10,604
New Jersey,2020-11-10,4425
New Mexico,2020-11-10,1645
Nevada,2020-11-10,1659
New York,2020-11-10,6032
Ohio,2020-11-10,6432
Oklahoma,2020-11-10,2910
Oregon,2020-11-10,1243
Pennsylvania,2020-11-10,6552
PR,2020-11-10,477
Rhode Island,2020-11-10,465
South Carolina,2020-11-10,1540
South Dakota,2020-11-10,561
Tennessee,2020-11-10,5397
Texas,2020-11-10,4707
Utah,2020-11-10,3730
Virginia,2020-11-10,2042
